C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.27CEST21:49:39,,,,,,,,,,,
,,,,,,,,,,,
PN K,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,   radvel   ,  redshift  ,     cz     ,#not
78,PN K       ,PN K 3-26,PN ,19 14 39.178 +00 13 36.29,19 12 05.599 +00 08 20.86,035.787912 -05.059592,            ~ ~ ,~           ,~           ,~           ,0
79,PN K       ,PN K 3-27,PN ,19 14 29.9599679040 +28 40 45.294843108,19 12 30.8008427131 +28 35 29.393459943,061.0942541747275 +08.0706339291364,-0.676 -1.172,~           ,~           ,~           ,0
80,PN K       ,IRAS 19128+0227,Mi*,19 15 21.4742168904 +02 33 02.085158556,19 12 50.4777401643 +02 27 44.026720389,037.9397747212330 -04.1481909127962,-3.553 -7.684,~           ,~           ,~           ,1
81,PN K       ,PN K 3-29,PN ,19 15 30.5684625864 +14 03 49.876616808,19 13 12.5992528401 +13 58 30.365197789,048.1620156916972 +01.1630015184710,            ~ ~ ,~           ,~           ,~           ,0
82,PN K       ,PN K 3-30,PN ,19 16 27.6992127396 +05 13 19.413334064,19 13 59.6610774968 +05 07 56.568471359,040.4410318469026 -03.1573069820549,-3.786 -5.415,~           ,~           ,~           ,0
83,PN K       ,PN K 3-31,PN ,19 19 02.6456875992 +19 02 21.008706036,19 16 50.5432161234 +18 56 46.689199519,052.9618810307884 +02.7314432220151,            ~ ~ ,~           ,~           ,~           ,0
84,PN K       ,PN K 3-32,PN ,19 19 36.8833773192 +22 34 34.763036160,19 17 29.2139282639 +22 28 58.236619253,056.1606478346038 +04.2597703711077,-2.477 -5.867,~           ,~           ,~           ,1
85,PN K       ,PN K 3-33,PN ,19 22 26.6674857936 +10 41 21.260931252,19 20 04.6693234152 +10 35 33.554738517,045.9723290737155 -01.9129513738325,-3.137 -5.275,~           ,~           ,~           ,1
86,PN K       ,PN K 3-34,PN ,19 24 02.735 +25 18 47.56,19 21 58.438 +25 12 52.45,059.062697 +04.639245,            ~ ~ ,~           ,~           ,~           ,0
87,PN K       ,PN K 3-35,PN ,19 27 43.9749997920 +21 30 02.907990216,19 25 34.5998656702 +21 23 53.128015357,056.0958510012605 +02.0937945518065,-2.841 -3.958,~           ,~           ,~           ,0
