C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.27CEST21:47:20,,,,,,,,,,,
,,,,,,,,,,,
PN M,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,  radvel   ,  redshift  ,    cz     ,#not
50,PN M       ,PN M 1-50,PN ,18 33 20.88 -18 16 37.1,18 30 25.22 -18 18 56.1,014.62134 -04.37971,            ~ ~ ,5,0.000017,5.00,0
51,PN M       ,PN M 1-51,PN ,18 33 29.05 -11 07 26.5,18 30 42.24 -11 09 46.4,020.99925 -01.12505,            ~ ~ ,~          ,~           ,~          ,1
52,PN M       ,PN M 1-52,PN ,18 33 58.50 -14 52 26.6,18 31 07.13 -14 54 48.5,017.72224 -02.95610,            ~ ~ ,~          ,~           ,~          ,0
53,PN M       ,PN M 1-53,PN ,18 35 48.267 -17 36 08.71,18 32 53.497 -17 38 38.36,015.490606 -04.592706,            ~ ~ ,46,0.000153,46.00,0
54,PN M       ,PN M 1-54,PN ,18 36 08.357 -16 59 57.02,18 33 14.354 -17 02 28.15,016.066016 -04.389658,            ~ ~ ,-42,-0.000140,-42.00,0
55,PN M       ,PN M 1-55,PN ,18 36 33.8579186684 -21 49 02.694225412,18 33 33.6296460811 -21 51 35.124884313,011.7919592255625 -06.6545197932994,-5.458 -6.171,-30,-0.000100,-30.00,0
56,PN M       ,PN M 1-56,PN ,18 37 46.27 -17 05 46.8,18 34 52.17 -17 08 25.0,016.15676 -04.78131,            ~ ~ ,-24,-0.000080,-24.00,0
57,PN M       ,PN M 1-57,PN ,18 40 20.2561639992 -10 39 47.216941560,18 37 34.0595574629 -10 42 36.509387938,022.1810956073639 -02.4087098407168,-3.813 -4.865,~          ,~           ,~          ,0
58,PN M       ,PN VV 201,PN ,18 42 57.0075531633 -11 06 53.298252392,18 40 10.2864040244 -11 09 53.846839588,022.0709930466851 -03.1854235711341,-0.766 -4.354,~          ,~           ,~          ,0
59,PN M       ,PN M 1-59,PN ,18 43 20.20 -09 04 49.1,18 40 35.89 -09 07 51.6,023.92809 -02.34427,            ~ ~ ,~          ,~           ,~          ,1
60,PN M       ,PN M 1-60,PN ,18 43 38.0929948608 -13 44 49.280634744,18 40 48.2097457007 -13 47 52.877866640,019.7949936239958 -04.5270676408938,            ~ ~ ,88,0.000294,88.01,0
61,PN M       ,PN M 1-61,PN ,18 45 55.12 -14 27 37.9,18 43 04.40 -14 30 51.3,019.40573 -05.34273,            ~ ~ ,31,0.000103,31.00,0
62,PN M       ,PN M 1-62,PN ,18 50 26.0470300152 -22 34 22.707895260,18 47 25.0831253449 -22 37 54.688869996,012.5280048462922 -09.8712318934401,-1.354 -7.392,41,0.000137,41.00,0
63,PN M       ,PN M 1-63,PN ,18 51 30.962 -13 10 36.58,18 48 41.819 -13 14 13.85,021.170426 -05.983389,15.5 -2.4,5,0.000017,5.00,0
64,PN M       ,PN M 1-64,PN ,18 50 02.090 +35 14 36.10,18 48 14.382 +35 11 02.85,064.980424 +15.520051,            ~ ~ ,~          ,~           ,~          ,0
