C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.23CEST20:54:33,,,,,,,,,,,
,,,,,,,,,,,
PN H,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,  radvel   ,  redshift  ,    cz     ,#not
79,PN H       ,PN H 2-13,PN ,17 31 08.11 -30 10 28.3,17 27 55.85 -30 08 15.4,357.26956 +02.00055,            ~ ~ ,~          ,~           ,~          ,0
80,PN H       ,PN H 2-14,PN ,17 32 20.093 -39 51 25.60,17 28 51.017 -39 49 17.28,349.294695 -03.501615,            ~ ~ ,-12,-0.000040,-12.00,0
81,PN H       ,PN H 2-15,PN ,17 34 26.817 -22 53 19.71,17 31 25.044 -22 51 21.58,003.805197 +05.332450,            ~ ~ ,-88,-0.000293,-87.99,0
82,PN H       ,PN H 2-16,PN ,17 39 55.615 -21 14 13.31,17 36 55.999 -21 12 39.09,005.887766 +05.134330,            ~ ~ ,-62,-0.000207,-61.99,0
83,PN H       ,PN H 2-17,PN ,17 40 07.4258459184 -24 25 42.592055448,17 37 03.4576109919 -24 24 08.762921584,003.1928597312031 +03.4121560838002,-3.723 -6.127,80,0.000267,80.01,0
84,PN H       ,PN H 2-18,PN ,17 43 18.3532870822 -21 09 03.245216375,17 40 18.8162810594 -21 07 43.693999393,006.3751985165435 +04.5083660812756,-0.006 -1.205,-113,-0.000377,-112.98,0
85,PN H       ,EM* AS 241,Sy*,17 45 14.2355912880 -38 17 25.840088556,17 41 47.8617970996 -38 16 13.492215902,351.9575626996236 -04.7937736008760,-2.025 -5.535,~          ,~           ,~          ,1
86,PN H       ,PN H 2-20,PN ,17 45 39.81 -25 40 00.3,17 42 34.01 -25 38 50.9,002.79651 +01.69442,            ~ ~ ,~          ,~           ,~          ,1
87,PN H       ,PN H 2-21,PN?,17 47 27.546 -32 50 00.43,17 44 10.742 -32 48 58.41,356.872536 -02.359837,            ~ ~ ,~          ,~           ,~          ,0
88,PN H       ,PN H 2-22,PN ,17 47 33.9413420071 -21 47 23.217346161,17 44 33.5128764690 -21 46 21.996901122,006.3420922173210 +03.3297057117187,-1.214 -5.623,~          ,~           ,~          ,0
89,PN H       ,PN H 2-23,PN ,17 48 57.91 -34 21 54.3,17 45 38.52 -34 20 58.8,355.71916 -03.41689,            ~ ~ ,38,0.000127,38.00,0
90,PN H       ,PN H 2-24,PN ,17 48 36.54 -24 16 34.8,17 45 32.68 -24 15 38.3,004.33241 +01.84304,            ~ ~ ,~          ,~           ,~          ,0
91,PN H       ,PN H 2-25,PN ,17 49 00.481 -23 42 54.59,17 45 57.401 -23 41 59.85,004.860791 +02.053647,            ~ ~ ,~          ,~           ,~          ,0
92,PN H       ,PN H 2-26,PN ,17 49 50.80 -34 00 30.5,17 46 32.00 -33 59 38.8,356.11953 -03.39099,            ~ ~ ,-165,-0.000550,-164.95,0
93,PN H       ,PN H 2-27,PN ,17 51 50.5693182432 -33 47 36.313494108,17 48 32.1259534119 -33 46 53.030484937,356.5162536086622 -03.6379894930926,-2.487 -7.033,-37,-0.000123,-37.00,0
94,PN H       ,EM* AS 245,Sy*,17 51 00.9152897544 -22 19 35.061285684,17 47 59.7442872354 -22 18 48.830554738,006.2911562108733 +02.3683543841463,-3.861 -6.594,~          ,~           ,~          ,1
95,PN H       ,PN H 2-29,PN ,17 53 16.8231690912 -32 40 38.501200020,17 50 00.2352548829 -32 40 01.615615693,357.6329647769357 -03.3321934359889,-4.758 -6.133,114,0.000380,114.02,0
96,PN H       ,PN H 2-30,PN ,17 56 14.233 -32 37 19.50,17 52 57.697 -32 36 55.85,357.994196 -03.842547,            ~ ~ ,-32,-0.000107,-32.00,0
97,PN H       ,PN H 2-31,PN ,17 56 02.350 -28 14 11.36,17 52 52.700 -28 13 47.10,001.771904 -01.606867,            ~ ~ ,~          ,~           ,~          ,0
98,PN H       ,PN H 2-32,PN ,17 56 24.3326114424 -29 38 06.740932164,17 53 12.5847728794 -29 37 43.599491637,000.6018050418314 -02.3784757146643,-8.750 -8.136,~          ,~           ,~          ,0
99,PN H       ,PN H 2-33,PN ,17 58 12.5489490240 -31 08 06.374622696,17 54 58.4345189734 -31 07 51.327397397,359.4950272253331 -03.4644014327869,-6.466 -2.227,107,0.000357,107.02,0
100,PN H       ,PN H 2-34,Sy*,17 58 28.0351570704 -28 33 42.018717960,17 55 17.8977065656 -28 33 28.013899476,001.7576493919111 -02.2318977256014,-3.253 -6.914,~          ,~           ,~          ,1
101,PN H       ,PN H 2-35,PN ,18 00 18.259 -34 27 39.29,17 56 58.620 -34 27 33.31,356.811444 -05.488695,            ~ ~ ,-199,-0.000664,-198.93,0
102,PN H       ,PN H 2-36,PN ,18 04 07.76 -31 39 11.4,18 00 52.78 -31 39 22.3,359.66507 -04.81928,            ~ ~ ,-108,-0.000360,-107.98,0
103,PN H       ,PN H 2-37,PN ,18 04 28.874 -28 37 34.55,18 01 18.620 -28 37 47.19,002.353134 -03.412208,            ~ ~ ,-158,-0.000527,-157.96,0
104,PN H       ,Haro 3-38,Mi*,18 06 01.1449301424 -28 17 04.208534592,18 02 51.4141455517 -28 17 23.246706483,002.8170476824513 -03.5411642637034,-1.259 -6.932,~          ,~           ,~          ,1
105,PN H       ,PN H 2-39,PN ,18 08 05.759 -28 26 10.50,18 04 55.801 -28 26 38.96,002.905410 -04.014468,            ~ ~ ,33,0.000110,33.00,0
106,PN H       ,PN H 2-40,PN ,18 08 30.76 -31 36 35.3,18 05 15.86 -31 37 05.4,000.15439 -05.61613,            ~ ~ ,-70,-0.000233,-69.99,0
107,PN H       ,PN H 2-41,PN ,18 12 23.765 -27 52 13.86,18 09 14.676 -27 53 01.14,003.858359 -04.576089,            ~ ~ ,~          ,~           ,~          ,0
108,PN H       ,PN H 2-42,PN ,18 12 23.255 -26 32 54.02,18 09 16.114 -26 33 41.34,005.023592 -03.945297,            ~ ~ ,-122,-0.000407,-121.98,0
109,PN H       ,PN H 2-43,PN ,18 12 47.9863208808 -28 19 59.741701932,18 09 38.2226780719 -28 20 48.561727023,003.4920372190791 -04.8740444326394,-4.030 -4.066,120,0.000400,120.02,0
110,PN H       ,PN H 2-44,PN ,18 13 40.45 -26 08 38.3,18 10 33.90 -26 09 31.3,005.51757 -04.00650,            ~ ~ ,-53,-0.000177,-53.00,0
111,PN H       ,PN H 2-45,PN ,18 14 28.844 -24 43 38.35,18 11 24.327 -24 44 34.91,006.853665 -03.494085,            ~ ~ ,89,0.000297,89.01,1
112,PN H       ,PN H 2-46,PN ,18 18 37.4530403160 -31 54 45.330851160,18 15 22.1548029057 -31 55 59.575508789,000.8974608382698 -07.6573023630241,            ~ ~ ,33,0.000110,33.00,0
113,PN H       ,Haro 3-47,Em*,18 28 50.6464072200 -24 32 01.788798084,18 25 46.5555878471 -24 34 00.805875447,008.5468194483301 -06.2951583776346,0.559 -2.557,~          ,~           ,~          ,1
114,PN H       ,PN H 2-48,PN ,18 46 35.1182447568 -23 26 48.261468804,18 43 32.8592045718 -23 30 03.808534144,011.3413742235594 -09.4477097972389,4.865 -5.508,3,0.000010,3.00,0
115,PN H       ,PN H 3-29,PN ,04 37 23.565 +25 02 43.90,04 34 20.752 +24 56 44.22,174.247104 -14.603358,            ~ ~ ,~          ,~           ,~          ,1
116,PN H       ,PN H 3-75,PN ,05 40 44.9723036352 +12 21 22.518118044,05 37 56.6737049081 +12 19 52.314399137,193.6470439963705 -09.5750122680568,-0.174 -0.391,6.93,0.000023,6.93,0
117,PN H       ,PN H 4-1,PN ,12 59 27.78107 +27 38 10.6612,12 57 02.86767 +27 54 20.5290,049.30875444 +88.14751434,            ~ ~ ,-189,-0.00063,-188.9,0
================================================================================,,,,,,,,,,,
